정책분야,사업명,예산_만원,가중치,가중치_점수
일자리,경남 사회적경제 청년부흥 프로젝트,3261,1.5,4891.5
일자리,경남 청년구직활동수당 지원사업,2784,1.5,4176.0
일자리,경남 중소기업 청년활력사업,2317,1.5,3475.5
일자리,경남 청년장인 프로젝트,2257,1.5,3385.5
일자리,경남 스타트업 청년채용 연계사업,622,2.0,1244.0
일자리,시군주도 청년일자리사업,10351,2.0,20702.0
일자리,경남형 트랙 활성화 지원사업,400,1.5,600.0
일자리,대학일자리플러스센터 운영,2215,2.0,4430.0
일자리,고졸자-선도기업간 희망사다리일자리사업,245,2.0,490.0
일자리,경남 귀환청년 주력산업 행복일자리이음사업,355,2.0,710.0
일자리,경남형 DNA 씨드인력 양성사업,4920,2.0,9840.0
일자리,청년일자리플랫폼(일자리프렌즈)운영,460,2.0,920.0
일자리,경남 청년일자리 교육사업,184,1.5,276.0
일자리,산학일체형 도제학교 운영지원,712,2.0,1424.0
일자리,경남청년인재-주력산업 동반성장 일자리사업,2310,1.5,3465.0
일자리,ESG 혁신기업 청년인재 양성사업,904,1.5,1356.0
일자리,경남 에너지성장 플러스청년일자리 사업,1255,1.5,1882.5
일자리,경남 항공우주산업 청년인재채용지원 사업,4119,1.5,6178.5
일자리,현장실습비 지원사업,1000,1.5,1500.0
일자리,경남 청년 산업디자이너 육성 프로젝트,53,1.5,79.5
일자리,경남 청년 멀티미디어 디자이너 육성지원,599,1.5,898.5
일자리,경남 청년 메타버스 UX 디자이너 육성지원,526,1.5,789.0
일자리,스마트 실내공간정보 DB 구축,717,2.0,1434.0
일자리,경남형 DMO 육성사업,200,1.5,300.0
일자리,(생활.장애인)생활체육지도자 배치 지원,5453,1.5,8179.5
일자리,새일센터 지정운영,7068,2.0,14136.0
일자리,청년여성 일경험 지원,306,1.5,459.0
일자리,청년 면접정장 무료 대여,81,1.0,81.0
일자리,공공도서관 개관시간 연장사업,2527,1.0,2527.0
일자리,도시재생 청년인재 양성 추진,88,1.0,88.0
일자리,경남 상생공제,1220,1.5,1830.0
일자리,주력산업 상생희망공제 사업,324,1.5,486.0
일자리,모다드림 청년통장,600,1.5,900.0
일자리,청년 해외취업 지원사업,334,1.5,501.0
일자리,대학 특화 청년창업 활성화 지원,600,2.0,1200.0
일자리,청년 창업아카데미 조성,2400,2.0,4800.0
일자리,창업청년 일자리플러스 지원사업,395,2.0,790.0
일자리,여성 취·창업 박람회 개최,20,2.0,40.0
일자리,여성 창업지원사업,50,2.0,100.0
일자리,IT 코워킹 플랫폼 조성,1100,2.0,2200.0
일자리,청년 이주정착 지원사업,203,1.5,304.5
일자리,찾아가는 취창업 멘토 콘서트,80,2.0,160.0
일자리,청년농업인 취농인턴제,49,1.5,73.5
일자리,청년농업인 영농정착지원,7730,1.5,11595.0
일자리,청년농업인 취농직불제,720,1.5,1080.0
일자리,경영실습임대농장 조성,858,2.0,1716.0
일자리,청년 후계농 농지 임대료 지원,600,1.5,900.0
일자리,"청년농업인 경영진단, 분석 컨설팅",104,2.0,208.0
일자리,차세대농업인 성공모델 육성,400,1.5,600.0
일자리,청년농업인 경쟁력 제고,650,1.0,650.0
일자리,청년 어촌 정착지원,498,1.5,747.0
일자리,청년어업인 귀어 인턴 지원,90,1.5,135.0
일자리,경남 청년 농식품수출 마케터 지원사업,318,1.5,477.0
일자리,청년 노동자 권익 보호교육,8,1.5,12.0
일자리,경남 청년친화기업 선정지원,450,1.5,675.0
주거,민간참여형 청년주택 지원사업,200,1.5,300.0
주거,맞춤형 청년주택 지원사업,0,2.0,0.0
주거,청년매입 임대주택사업,1213,1.0,1213.0
주거,신혼부부주택 우선 공급 및 지원,0,1.5,0.0
주거,경남청년보금자리 조성사업,17143,2.0,34286.0
주거,남명학사 운영비 지원,2639,1.5,3958.5
